<CAZCO_NAUNAY_WLAN_2020.03.11.11.29.57.txt>
172.21.172.87/21
64:76:ba:b1:e1:8c	172.21.168.151
e0:ac:cb:d7:95:c0	172.21.169.151
e4:02:9b:bf:2c:69	172.21.169.152
a0:10:81:8a:8b:f6	172.21.172.152
38:00:25:ce:d5:d8	172.21.173.152
10:41:7f:be:6f:1a	172.21.169.153
f8:1e:df:ec:cf:52	172.21.172.153
d8:c4:6a:bd:24:49	172.21.173.153
dc:a9:04:16:ed:78	172.21.168.154
88:9f:6f:88:23:f6	172.21.169.154
f8:ff:c2:91:14:d9	172.21.173.154
c0:d0:12:93:d8:9d	172.21.169.155
8c:f5:a3:7e:35:a0	172.21.172.155
f0:18:98:38:31:6c	172.21.173.155
b0:48:1a:55:8a:87	172.21.168.156
30:d9:d9:20:62:ff	172.21.169.156
48:a1:95:ba:16:a3	172.21.172.156
b0:19:c6:ac:52:17	172.21.173.156
d4:61:da:b8:d5:f8	172.21.168.157
c0:a6:00:02:3b:ce	172.21.169.157
9c:f3:87:a7:91:04	172.21.172.157
ec:8c:9a:83:73:4e	172.21.172.158
e0:b5:5f:90:03:f6	172.21.169.159
80:56:f2:8a:b8:b5	172.21.173.159
20:f4:78:37:b7:5a	172.21.172.160
d0:57:7b:d0:d0:45	172.21.173.160
78:88:6d:80:50:15	172.21.168.161
d0:ab:d5:cb:4f:12	172.21.169.162
8c:85:90:0a:4b:a6	172.21.173.162
78:4f:43:a2:9d:28	172.21.169.163
f0:a3:5a:9b:10:d5	172.21.173.163
d0:2b:20:5b:63:d6	172.21.169.164
74:29:af:60:80:8d	172.21.172.164
f0:d5:bf:f9:21:1c	172.21.173.164
58:6b:14:8b:62:97	172.21.168.165
8c:85:90:29:48:ed	172.21.169.165
94:94:26:09:65:28	172.21.173.165
88:11:96:36:9f:f2	172.21.168.166
f0:ee:10:40:f7:ea	172.21.169.166
64:b0:a6:e2:26:cb	172.21.172.166
8c:85:90:7b:26:73	172.21.173.166
70:3a:51:90:c7:62	172.21.168.167
8c:85:90:ce:85:68	172.21.172.167
fc:01:7c:9e:ae:a3	172.21.169.168
e0:5f:45:be:eb:2e	172.21.172.168
60:8b:0e:5b:ae:43	172.21.173.168
b0:10:41:d6:18:a5	172.21.173.169
5c:87:9c:04:37:92	172.21.169.170
34:42:62:bd:ac:b1	172.21.173.170
24:5a:b5:fc:ba:6f	172.21.168.171
44:4a:db:00:7c:29	172.21.169.171
60:8b:0e:0b:f3:16	172.21.168.172
5c:09:47:a2:75:d8	172.21.173.172
40:83:1d:ae:da:8f	172.21.168.173
48:c7:96:49:ae:8b	172.21.172.173
ec:10:7b:16:7a:57	172.21.168.174
48:d7:05:c8:2e:53	172.21.169.174
cc:9f:7a:53:53:26	172.21.172.174
f8:e9:4e:88:84:09	172.21.168.175
00:5b:94:cf:3e:5b	172.21.168.176
88:19:08:ec:54:31	172.21.169.176
a8:34:6a:64:c5:38	172.21.172.176
08:ed:b9:b8:c6:83	172.21.173.176
88:ae:07:58:6b:69	172.21.169.177
c0:d0:12:85:30:85	172.21.173.177
d0:ab:d5:bb:61:c4	172.21.169.178
d4:53:83:f3:d1:c4	172.21.173.178
a0:3b:e3:ef:93:b6	172.21.169.179
00:23:6c:90:05:37	172.21.173.179
f4:0f:24:d1:3f:c2	172.21.172.180
40:9c:28:a0:7d:d8	172.21.173.180
d4:61:da:18:a2:b7	172.21.168.181
8c:f5:a3:c5:1c:e1	172.21.169.181
70:3c:69:2e:1c:79	172.21.172.181
b8:63:4d:23:4d:28	172.21.173.181
7c:a1:ae:b7:f8:f5	172.21.169.182
38:f9:d3:9c:e1:6c	172.21.173.182
8c:85:90:75:0c:f1	172.21.168.183
98:01:a7:c4:b7:45	172.21.169.183
60:ab:67:c3:55:48	172.21.172.183
f0:98:9d:d6:eb:e6	172.21.173.183
98:9c:57:4e:e5:d8	172.21.169.184
e0:aa:96:fb:85:60	172.21.172.184
b0:48:1a:c7:e4:29	172.21.169.185
c0:d0:12:ab:43:0e	172.21.172.185
20:c9:d0:ca:1e:23	172.21.173.185
e4:d5:3d:68:af:0a	172.21.169.186
7c:67:a2:ee:d4:41	172.21.172.186
38:f9:d3:88:a7:6a	172.21.173.186
94:0c:98:ef:95:a0	172.21.169.187
f0:a3:5a:14:3e:83	172.21.172.187
94:bf:2d:1c:7c:39	172.21.168.188
e0:aa:96:57:33:f6	172.21.169.188
9c:f4:8e:d9:57:ed	172.21.169.189
bc:9f:ef:0b:c8:c5	172.21.168.190
34:f6:4b:8c:dd:c7	172.21.169.190
28:02:d8:6d:f3:76	172.21.172.190
00:be:3b:02:a3:69	172.21.173.190
30:a1:fa:7d:da:ef	172.21.168.191
70:3c:69:35:47:95	172.21.169.191
a4:6c:f1:d3:e9:1c	172.21.173.191
24:f0:94:96:42:8f	172.21.168.192
08:e6:89:e2:5e:c3	172.21.169.192
f8:63:3f:55:57:8a	172.21.173.192
b8:7b:c5:83:6b:66	172.21.169.193
dc:08:0f:40:fe:6b	172.21.171.193
70:3c:69:bf:93:b9	172.21.173.193
74:8d:08:a5:14:8e	172.21.169.194
00:b3:62:3c:0b:6e	172.21.168.195
f8:87:f1:18:a2:a8	172.21.169.195
b8:d7:af:82:b8:a5	172.21.172.195
88:29:9c:6a:8e:7b	172.21.173.195
8c:85:90:6b:85:f8	172.21.173.196
8c:85:90:63:4a:b8	172.21.169.197
38:f9:d3:c8:77:fa	172.21.172.197
88:19:08:b1:03:de	172.21.173.197
c4:b3:01:c1:fe:53	172.21.171.198
28:39:26:2d:82:77	172.21.172.198
ac:1f:74:39:3b:09	172.21.173.198
ac:e4:b5:c1:55:c0	172.21.168.199
f0:18:98:23:d2:ff	172.21.169.199
40:26:19:7a:ad:c8	172.21.172.199
98:00:c6:3a:ab:11	172.21.173.199
e4:9a:dc:ba:f0:75	172.21.168.200
30:96:fb:5c:f9:5c	172.21.172.200
48:2c:a0:74:19:74	172.21.173.200
d0:9c:7a:d1:73:3e	172.21.169.201
0c:cb:85:05:80:cd	172.21.173.201
9c:f4:8e:04:b8:e5	172.21.172.202
48:f1:7f:09:48:bd	172.21.173.202
74:9e:af:0c:72:07	172.21.169.203
a4:5e:60:f3:4e:6b	172.21.173.203
f4:bf:80:80:07:0a	172.21.168.204
6c:e8:5c:de:8d:f7	172.21.169.204
8c:85:90:0a:50:f5	172.21.172.204
7c:76:35:f2:34:f1	172.21.173.204
8c:85:90:59:c2:ef	172.21.168.205
b4:74:43:20:ec:11	172.21.169.205
ec:aa:25:da:d8:c5	172.21.173.205
ac:92:32:bf:cd:40	172.21.169.206
f8:ff:c2:25:ab:8e	172.21.173.206
88:29:9c:35:4e:83	172.21.168.207
90:63:3b:6c:20:72	172.21.169.207
18:f6:43:11:4b:f6	172.21.172.207
7c:5c:f8:6f:41:a4	172.21.173.207
4c:74:bf:b2:ab:46	172.21.172.208
f0:98:9d:cc:16:7b	172.21.169.209
20:32:6c:2b:b6:2b	172.21.172.209
00:b3:62:d8:0b:3e	172.21.168.210
14:1f:78:53:da:78	172.21.173.210
44:1c:a8:45:14:d9	172.21.169.211
38:89:2c:a8:5a:0f	172.21.172.211
98:10:e8:87:b8:55	172.21.173.211
e0:ac:cb:87:ad:00	172.21.168.212
90:94:97:94:d9:04	172.21.169.212
a4:83:e7:ca:c1:f4	172.21.172.212
a0:4e:a7:78:23:11	172.21.173.212
14:87:6a:80:b5:08	172.21.168.213
74:42:8b:66:e6:13	172.21.169.213
44:1c:a8:f8:38:dd	172.21.173.213
cc:20:e8:93:f2:cf	172.21.172.214
ac:88:fd:2a:a8:d5	172.21.173.214
c0:ee:fb:94:9f:4a	172.21.168.215
f8:4e:73:e9:5f:32	172.21.169.215
6c:00:6b:58:a8:05	172.21.172.215
50:c8:e5:99:5e:73	172.21.173.215
90:b0:ed:ba:6e:a4	172.21.169.216
ec:2c:e2:b0:f7:ca	172.21.173.216
6c:88:14:df:6d:70	172.21.169.217
c2:12:b1:94:8b:de	172.21.172.217
34:ab:37:da:6a:0f	172.21.173.217
24:f0:94:98:c0:82	172.21.169.218
94:f6:d6:dc:e9:2c	172.21.173.218
24:2e:02:57:56:7b	172.21.168.219
f0:98:9d:08:c5:07	172.21.169.219
bc:9f:ef:69:c4:31	172.21.172.219
18:5e:0f:cc:4b:51	172.21.173.219
88:a9:b7:4b:c9:a4	172.21.172.220
30:57:14:22:44:91	172.21.168.221
08:e6:89:a1:85:c7	172.21.169.221
94:b8:6d:94:f4:c6	172.21.173.221
d8:68:c3:3e:4a:8f	172.21.169.222
f0:24:75:6f:be:73	172.21.172.222
a4:c3:f0:60:ab:76	172.21.173.222
a4:07:b6:c0:f2:40	172.21.169.223
f4:06:16:53:05:40	172.21.172.223
bc:fe:d9:a0:da:bf	172.21.173.223
d4:e6:b7:0e:40:95	172.21.169.224
28:16:7f:e0:1b:a9	172.21.173.224
c0:ee:fb:d2:fb:76	172.21.169.225
98:46:0a:35:8c:99	172.21.173.225
d8:9c:67:16:83:79	172.21.169.226
e4:b3:18:5b:81:b4	172.21.172.226
78:4f:43:97:55:4f	172.21.173.226
74:42:8b:6d:16:c3	172.21.168.227
08:c5:e1:ec:5a:60	172.21.173.227
24:2e:02:57:59:24	172.21.168.228
3c:95:09:d4:7c:19	172.21.169.228
f8:95:ea:b3:73:1e	172.21.172.228
38:f9:d3:b6:e7:2a	172.21.173.228
28:c6:3f:22:c5:90	172.21.169.229
64:89:f1:71:fc:09	172.21.171.229
b0:19:c6:a5:1c:a9	172.21.169.230
a4:45:19:18:da:67	172.21.168.231
6c:c7:ec:a1:ac:16	172.21.169.231
54:99:63:b2:f6:5b	172.21.173.231
00:cd:fe:82:37:8a	172.21.173.232
fc:a6:21:1b:d4:19	172.21.168.233
a8:34:6a:2c:8f:2a	172.21.169.233
44:85:00:70:e3:29	172.21.173.233
5c:1d:d9:d6:0c:e6	172.21.169.234
88:78:73:6b:76:b4	172.21.173.234
a0:56:f3:b3:e1:5c	172.21.168.235
08:6d:41:d9:39:f4	172.21.169.235
8c:85:90:ba:5e:0b	172.21.172.235
e4:b3:18:ee:b8:5d	172.21.173.235
34:29:12:d6:ac:c9	172.21.169.236
b8:7b:c5:ef:ab:81	172.21.173.236
3c:95:09:bd:aa:1f	172.21.169.237
24:a0:74:0e:ac:61	172.21.173.237
d8:1c:79:70:2f:ea	172.21.168.238
ac:b5:7d:27:c2:17	172.21.169.238
18:56:80:7d:f6:db	172.21.173.238
c4:b3:01:aa:73:1e	172.21.169.239
54:b1:21:90:3c:ee	172.21.173.239
b8:63:4d:02:fd:28	172.21.169.240
dc:08:0f:47:10:15	172.21.169.241
24:f6:77:55:fd:28	172.21.168.242
50:bc:96:7b:ca:97	172.21.169.242
48:4b:aa:38:7e:c3	172.21.168.243
10:94:bb:de:71:24	172.21.169.243
e8:e8:b7:7c:90:9d	172.21.172.243
e4:b2:fb:7c:ae:03	172.21.168.245
2c:d0:5a:69:f5:80	172.21.169.245
88:e9:fe:76:55:00	172.21.168.246
14:10:9f:dd:d0:35	172.21.169.246
3c:2e:ff:cc:17:aa	172.21.168.247
c4:17:fe:a2:21:93	172.21.169.247
14:c2:13:11:0f:6a	172.21.172.247
50:82:d5:a9:22:5f	172.21.168.248
68:fe:f7:f1:51:f4	172.21.169.248
c4:98:80:c7:6c:11	172.21.169.249
34:08:bc:43:34:71	172.21.172.250
70:0f:6a:e7:98:a1	172.21.168.252
6c:88:14:47:21:ac	172.21.168.253
8c:85:90:ad:aa:6f	172.21.172.253
e0:33:8e:64:6a:ef	172.21.172.254
88:e9:fe:5c:a6:c3	172.21.168.255
64:5a:ed:10:a6:4b	172.21.172.255
